mechanism,adaptive_gain_scale,adaptive_gain_value,selected_coupling_memory_gain_rad_h,condition,D_period_h,V_period_h,mean_DV_period_h,mean_gap_h,mean_tau_D_h,mean_K_effective_rad_h,mean_gap_rad,delta_omega_rad_h,K_effective_rad_h,locking_ratio,phase_lock_possible,fractional_change,percent_change,D_period_change_h,V_period_change_h,mean_DV_period_change_h,gap_change_h,baseline_phase_lock_possible
adaptive period,0.55,4.396959108741026,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.10720760088423277,23.988037898965334,0.0035750484417668123,0.02806688427890769,0.0004889015805820685,0.0035750484417668123,0.13675383384188497,True,-0.44999999999999996,-44.99999999999999,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.0890386774476597,True
adaptive period,0.55,4.396959108741026,-0.484,LP,23.661971830985912,23.745583038869256,23.703777434927584,0.5576889317120276,23.868187504580337,0.0035750484417668123,0.14600262090457047,0.0018041420655254825,0.0035750484417668123,0.5046482851666938,True,-0.44999999999999996,-44.99999999999999,0.1654683344824157,0.16663567044820482,0.16605200246531027,-0.3105255771816453,True
adaptive period,0.55,4.396959108741026,-0.484,LD,23.745583038869256,23.829787234042556,23.787685136455906,0.33317024386485355,23.927470736628173,0.0035750484417668123,0.08722376587671199,0.0011519199714525308,0.0035750484417668123,0.32221101062430485,True,-0.44999999999999996,-44.99999999999999,0.0,0.08420419517329947,0.042102097586649734,-0.10589585095437842,True
adaptive period,0.55,4.396959108741026,-0.484,T22,24.347826086956523,24.347826086956523,24.347826086956523,-0.5442469862986817,24.200685124743075,0.0035750484417668123,-0.14248352782452695,-0.001812631397557385,0.0035750484417668123,0.5070228913210392,True,-0.44999999999999996,-44.99999999999999,-0.5410628019323696,-0.3580562659846578,-0.44955953395851367,0.7541434705701212,False
adaptive period,0.55,4.396959108741026,-0.484,T26,23.252595155709344,23.414634146341463,23.333614651025403,1.1954157072529121,23.67012130997593,0.0035750484417668123,0.31295910032429963,0.004006917889748718,0.0035750484417668123,1.1208010059210478,False,-0.44999999999999996,-44.99999999999999,0.47293413876018775,0.400935516204477,0.43693482748233237,-1.0333179895894393,False
adaptive period,0.6000000000000001,4.7966826640811195,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.09780351960179297,23.9908675111011,0.0035750484417668123,0.02560490155635151,0.00045800815273105977,0.0035750484417668123,0.12811243265411787,True,-0.3999999999999999,-39.99999999999999,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.0796345961652199,True
adaptive period,0.6000000000000001,4.7966826640811195,-0.484,LP,23.661971830985912,23.661971830985912,23.661971830985912,0.589097710905717,23.858849586365594,0.0035750484417668123,0.15422542006899703,0.001907171423623788,0.0035750484417668123,0.533467295531596,True,-0.3999999999999999,-39.99999999999999,0.1654683344824157,0.08302446256486107,0.12424639852363839,-0.27911679798795586,True
adaptive period,0.6000000000000001,4.7966826640811195,-0.484,LD,23.745583038869256,23.829787234042556,23.787685136455906,0.34397236679233356,23.924236403915188,0.0035750484417668123,0.0900517550460574,0.0011874200801469947,0.0035750484417668123,0.33214097640594875,True,-0.3999999999999999,-39.99999999999999,0.0,0.08420419517329947,0.042102097586649734,-0.09509372802689842,True
adaptive period,0.6000000000000001,4.7966826640811195,-0.484,T22,24.436363636363637,24.347826086956523,24.39209486166008,-0.6229313537292235,24.22493016978096,0.0035750484417668123,-0.1630830470472061,-0.002072475382931538,0.0035750484417668123,0.5797055387331499,True,-0.3999999999999999,-39.99999999999999,-0.45252525252525544,-0.3580562659846578,-0.4052907592549566,0.6754591031395795,False
adaptive period,0.6000000000000001,4.7966826640811195,-0.484,T26,23.17241379310345,23.333333333333332,23.25287356321839,1.2978391236226539,23.64048270950738,0.0035750484417668123,0.3397734880261954,0.004339715912263398,0.0035750484417668123,1.2138901004985212,False,-0.3999999999999999,-39.99999999999999,0.3927527761542926,0.31963470319634624,0.3561937396753194,-0.9308945732196976,False
