condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.013426853707414829,2.944339514535006,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013527054108216433,0.1791149860251191,stable,0.0001963492545675738,0.012424951558233189
SP,0.013527054108216433,2.9624776675646736,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013627254509018036,0.164045747881997,stable,0.0001963492545675738,0.012424951558233189
SP,0.013627254509018036,2.977546905707796,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01372745490981964,0.1513244716206552,stable,0.0001963492545675738,0.012424951558233189
SP,0.01372745490981964,2.990268181969138,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013827655310621242,0.14044033979435966,stable,0.0001963492545675738,0.012424951558233189
SP,0.013827655310621242,3.0011523137954335,unstable,0.0001963492545675738,0.012424951558233189
SP,0.013927855711422845,0.13102109924769012,stable,0.0001963492545675738,0.012424951558233189
SP,0.013927855711422845,3.0105715543421034,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014028056112224449,0.12278894748737113,stable,0.0001963492545675738,0.012424951558233189
SP,0.014028056112224449,3.018803706102422,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014128256513026053,0.11553229936818354,stable,0.0001963492545675738,0.012424951558233189
SP,0.014128256513026053,3.0260603542216096,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014228456913827655,0.10908712933389042,stable,0.0001963492545675738,0.012424951558233189
SP,0.014228456913827655,3.032505524255903,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014328657314629258,0.1033242965091894,stable,0.0001963492545675738,0.012424951558233189
SP,0.014328657314629258,3.0382683570806037,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014428857715430862,0.09814072449043998,stable,0.0001963492545675738,0.012424951558233189
SP,0.014428857715430862,3.043451929099353,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014529058116232466,0.09345313221020701,stable,0.0001963492545675738,0.012424951558233189
SP,0.014529058116232466,3.0481395213795857,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014629258517034067,0.08919349353341621,stable,0.0001963492545675738,0.012424951558233189
SP,0.014629258517034067,3.0523991600563765,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014729458917835671,0.08530569321457726,stable,0.0001963492545675738,0.012424951558233189
SP,0.014729458917835671,3.056286960375216,unstable,0.0001963492545675738,0.012424951558233189
SP,0.014829659318637275,0.08174302651921073,stable,0.0001963492545675738,0.012424951558233189
